city_label,series_method,aggregation_method,year,net_value_rsd,gross_value_rsd,gross_minus_net_rsd
Grad Beograd,city_municipality_group,average,2018,57487.41,79524.35,22036.94
Grad Novi Sad,city_group_members,average,2018,51159.0,70747.0,19588.0
Grad Beograd,city_municipality_group,weighted_average,2018,60581.57,83790.53,23208.96
Grad Novi Sad,city_group_members,weighted_average,2018,53905.13,74607.08,20701.95
Grad Beograd,city_municipality_group,median,2018,55977.0,77501.0,21524.0
Grad Novi Sad,city_group_members,median,2018,54075.0,74846.0,20771.0
Grad Beograd,city_municipality_group,average,2019,64510.41,88885.65,24375.24
Grad Novi Sad,city_group_members,average,2019,60466.0,83433.0,22967.0
Grad Beograd,city_municipality_group,weighted_average,2019,67951.36,93583.83,25632.47
Grad Novi Sad,city_group_members,weighted_average,2019,60466.0,83433.0,22967.0
Grad Beograd,city_municipality_group,median,2019,62276.0,85933.0,23657.0
Grad Novi Sad,city_group_members,median,2019,60466.0,83433.0,22967.0
Grad Beograd,city_municipality_group,average,2020,70250.12,96852.88,26602.76
Grad Novi Sad,city_group_members,average,2020,67957.0,93766.0,25809.0
Grad Beograd,city_municipality_group,weighted_average,2020,74053.21,102055.67,28002.46
Grad Novi Sad,city_group_members,weighted_average,2020,67957.0,93766.0,25809.0
Grad Beograd,city_municipality_group,median,2020,68557.0,94615.0,26058.0
Grad Novi Sad,city_group_members,median,2020,67957.0,93766.0,25809.0
Grad Beograd,city_municipality_group,average,2021,77434.35,106493.53,29059.18
Grad Novi Sad,city_group_members,average,2021,75773.0,104290.0,28517.0
Grad Beograd,city_municipality_group,weighted_average,2021,81799.75,112472.5,30672.75
Grad Novi Sad,city_group_members,weighted_average,2021,75773.0,104290.0,28517.0
Grad Beograd,city_municipality_group,median,2021,75777.0,104392.0,28615.0
Grad Novi Sad,city_group_members,median,2021,75773.0,104290.0,28517.0
Grad Beograd,city_municipality_group,average,2022,88947.59,122243.65,33296.06
Grad Novi Sad,city_group_members,average,2022,88932.0,122396.0,33464.0
Grad Beograd,city_municipality_group,weighted_average,2022,94435.45,129764.15,35328.7
Grad Novi Sad,city_group_members,weighted_average,2022,88932.0,122396.0,33464.0
Grad Beograd,city_municipality_group,median,2022,85003.0,117387.0,32384.0
Grad Novi Sad,city_group_members,median,2022,88932.0,122396.0,33464.0
Grad Beograd,city_municipality_group,average,2023,103082.59,141541.24,38458.65
Grad Novi Sad,city_group_members,average,2023,101101.0,139226.0,38125.0
Grad Beograd,city_municipality_group,weighted_average,2023,108860.24,149523.06,40662.82
Grad Novi Sad,city_group_members,weighted_average,2023,101101.0,139226.0,38125.0
Grad Beograd,city_municipality_group,median,2023,97578.0,134595.0,37017.0
Grad Novi Sad,city_group_members,median,2023,101101.0,139226.0,38125.0
Grad Beograd,city_municipality_group,average,2024,117156.71,160986.59,43829.88
Grad Novi Sad,city_group_members,average,2024,114397.0,157742.0,43345.0
Grad Beograd,city_municipality_group,weighted_average,2024,123323.25,169558.31,46235.07
Grad Novi Sad,city_group_members,weighted_average,2024,114397.0,157742.0,43345.0
Grad Beograd,city_municipality_group,median,2024,111480.0,153865.0,42385.0
Grad Novi Sad,city_group_members,median,2024,114397.0,157742.0,43345.0
Grad Beograd,city_municipality_group,average,2025,129426.18,178088.35,48662.18
Grad Novi Sad,city_group_members,average,2025,126469.0,174469.0,48000.0
Grad Beograd,city_municipality_group,weighted_average,2025,136214.7,187529.45,51314.75
Grad Novi Sad,city_group_members,weighted_average,2025,126469.0,174469.0,48000.0
Grad Beograd,city_municipality_group,median,2025,123940.0,171190.0,47250.0
Grad Novi Sad,city_group_members,median,2025,126469.0,174469.0,48000.0
