city_group_name,earnings_type,aggregation_method,municipality_count,weight_observation_count,total_weight,avg_2025_value_rsd,min_2025_value_rsd,max_2025_value_rsd
Grad Beograd,gross,average,17,17,712155.0,178084.41,127807.83,255513.83
Grad Beograd,net,average,17,17,712155.0,129423.61,92373.0,187799.09
Grad Niš,gross,average,6,6,182708.0,138558.07,119222.92,164801.5
Grad Niš,net,average,6,6,182708.0,100246.66,86435.5,118934.33
Grad Novi Sad,gross,average,1,1,151721.0,174478.5,174478.5,174478.5
Grad Novi Sad,net,average,1,1,151721.0,126477.58,126477.58,126477.58
Grad Požarevac,gross,average,3,3,48192.0,144602.19,140392.33,151462.59
Grad Požarevac,net,average,3,3,48192.0,104088.08,101133.75,108902.25
Grad Užice,gross,average,3,3,54869.0,136261.89,126734.83,141281.08
Grad Užice,net,average,3,3,54869.0,98139.98,91117.17,101839.59
Grad Vranje,gross,average,3,3,50208.0,114854.22,106333.92,119277.33
Grad Vranje,net,average,3,3,50208.0,83221.06,77137.25,86379.25
