administrative_district_name,earnings_type,aggregation_method,municipality_count,weight_observation_count,total_weight,avg_2025_value_rsd,min_2025_value_rsd,max_2025_value_rsd
Beogradski region,gross,average,17,17,712155.0,178084.41,127807.83,255513.83
Beogradski region,net,average,17,17,712155.0,129423.61,92373.0,187799.09
Borska oblast,gross,average,4,4,34713.0,148078.86,127588.17,175805.84
Borska oblast,net,average,4,4,34713.0,106655.21,92084.59,126452.92
Braničevska oblast,gross,average,10,10,69791.0,125225.37,112926.5,151462.59
Braničevska oblast,net,average,10,10,69791.0,90401.77,81998.75,108902.25
Jablanička oblast,gross,average,6,6,55018.0,111517.93,103278.58,126309.42
Jablanička oblast,net,average,6,6,55018.0,80785.78,75009.75,91270.33
Južnobanatska oblast,gross,average,8,8,86532.0,129796.55,119209.17,151633.91
Južnobanatska oblast,net,average,8,8,86532.0,93866.7,86177.33,109434.25
Južnobačka oblast,gross,average,12,12,234349.0,129599.07,113283.33,174478.5
Južnobačka oblast,net,average,12,12,234349.0,93826.87,82213.42,126477.58
Kolubarska oblast,gross,average,6,6,54166.0,127994.52,115667.08,141755.92
Kolubarska oblast,net,average,6,6,54166.0,92533.83,83802.58,102132.75
Mačvanska oblast,gross,average,8,8,85590.0,120736.69,114737.08,132227.0
Mačvanska oblast,net,average,8,8,85590.0,87501.01,83232.67,95697.75
Moravička oblast,gross,average,4,4,67237.0,132357.1,113629.67,150375.83
Moravička oblast,net,average,4,4,67237.0,95623.94,82488.33,108149.67
Nišavska oblast,gross,average,12,12,210027.0,125090.33,108328.42,164801.5
Nišavska oblast,net,average,12,12,210027.0,90633.93,78625.08,118934.33
Pirotska oblast,gross,average,4,4,23771.0,120110.98,112522.08,134892.42
Pirotska oblast,net,average,4,4,23771.0,87008.1,81669.42,97345.42
Podunavska oblast,gross,average,3,3,56615.0,128512.53,122293.67,138141.84
Podunavska oblast,net,average,3,3,56615.0,92925.58,88545.08,99712.08
Pomoravska oblast,gross,average,6,6,54828.0,118963.64,111720.67,124016.0
Pomoravska oblast,net,average,6,6,54828.0,86067.82,80896.41,89666.17
Pčinjska oblast,gross,average,9,9,73643.0,112931.04,102237.25,120112.08
Pčinjska oblast,net,average,9,9,73643.0,81751.73,73897.67,86932.83
Rasinska oblast,gross,average,6,6,68771.0,119020.93,112387.5,133615.16
Rasinska oblast,net,average,6,6,68771.0,86181.64,81396.25,96597.75
Raška oblast,gross,average,5,5,80319.0,116864.1,111638.67,126650.92
Raška oblast,net,average,5,5,80319.0,84557.64,80841.5,91604.17
Severnobanatska oblast,gross,average,6,6,37599.0,124119.38,119066.5,130781.5
Severnobanatska oblast,net,average,6,6,37599.0,89837.9,86426.67,94596.08
Severnobačka oblast,gross,average,3,3,55599.0,125270.53,116347.33,135621.17
Severnobačka oblast,net,average,3,3,55599.0,90741.8,84370.33,98278.0
Srednjobanatska oblast,gross,average,5,5,54431.0,125555.35,118514.33,137058.83
Srednjobanatska oblast,net,average,5,5,54431.0,90816.28,85820.17,99018.0
Sremska oblast,gross,average,7,7,102501.0,133552.55,122330.75,144985.17
Sremska oblast,net,average,7,7,102501.0,96503.36,88699.67,104649.0
Toplička oblast,gross,average,4,4,23698.0,115857.19,109399.75,122294.92
Toplička oblast,net,average,4,4,23698.0,83940.6,79345.75,88502.42
Zaječarska oblast,gross,average,4,4,27970.0,124898.64,113439.92,133788.58
Zaječarska oblast,net,average,4,4,27970.0,90264.02,82178.25,96700.92
Zapadnobačka oblast,gross,average,4,4,47808.0,123087.71,120578.58,126241.25
Zapadnobačka oblast,net,average,4,4,47808.0,88966.02,87137.5,91241.58
Zlatiborska oblast,gross,average,12,12,109928.0,123596.64,112512.08,141281.08
Zlatiborska oblast,net,average,12,12,109928.0,89226.48,81551.33,101839.59
Šumadijska oblast,gross,average,7,7,96289.0,124712.07,119134.75,143375.25
Šumadijska oblast,net,average,7,7,96289.0,90233.06,86208.33,103574.5
