administrative_district_name,earnings_type,aggregation_method,municipality_count,weight_observation_count,total_weight,median_2025_value_rsd,min_2025_value_rsd,max_2025_value_rsd
Beogradski region,gross,median,17,17,712155.0,171195.5,127807.83,255513.83
Beogradski region,net,median,17,17,712155.0,123943.83,92373.0,187799.09
Borska oblast,gross,median,4,4,34713.0,144460.71,127588.17,175805.84
Borska oblast,net,median,4,4,34713.0,104041.67,92084.59,126452.92
Braničevska oblast,gross,median,10,10,69791.0,120139.21,112926.5,151462.59
Braničevska oblast,net,median,10,10,69791.0,86622.33,81998.75,108902.25
Jablanička oblast,gross,median,6,6,55018.0,108507.38,103278.58,126309.42
Jablanička oblast,net,median,6,6,55018.0,78577.08,75009.75,91270.33
Južnobanatska oblast,gross,median,8,8,86532.0,125537.38,119209.17,151633.91
Južnobanatska oblast,net,median,8,8,86532.0,90800.21,86177.33,109434.25
Južnobačka oblast,gross,median,12,12,234349.0,126231.25,113283.33,174478.5
Južnobačka oblast,net,median,12,12,234349.0,91365.83,82213.42,126477.58
Kolubarska oblast,gross,median,6,6,54166.0,129760.29,115667.08,141755.92
Kolubarska oblast,net,median,6,6,54166.0,93862.08,83802.58,102132.75
Mačvanska oblast,gross,median,8,8,85590.0,118944.25,114737.08,132227.0
Mačvanska oblast,net,median,8,8,85590.0,86333.25,83232.67,95697.75
Moravička oblast,gross,median,4,4,67237.0,132711.46,113629.67,150375.83
Moravička oblast,net,median,4,4,67237.0,95928.88,82488.33,108149.67
Nišavska oblast,gross,median,12,12,210027.0,119307.04,108328.42,164801.5
Nišavska oblast,net,median,12,12,210027.0,86425.75,78625.08,118934.33
Pirotska oblast,gross,median,4,4,23771.0,116514.71,112522.08,134892.42
Pirotska oblast,net,median,4,4,23771.0,84508.79,81669.42,97345.42
Podunavska oblast,gross,median,3,3,56615.0,125102.08,122293.67,138141.84
Podunavska oblast,net,median,3,3,56615.0,90519.58,88545.08,99712.08
Pomoravska oblast,gross,median,6,6,54828.0,119843.21,111720.67,124016.0
Pomoravska oblast,net,median,6,6,54828.0,86699.67,80896.41,89666.17
Pčinjska oblast,gross,median,9,9,73643.0,112091.67,102237.25,120112.08
Pčinjska oblast,net,median,9,9,73643.0,81207.83,73897.67,86932.83
Rasinska oblast,gross,median,6,6,68771.0,116781.25,112387.5,133615.16
Rasinska oblast,net,median,6,6,68771.0,84638.29,81396.25,96597.75
Raška oblast,gross,median,5,5,80319.0,115743.83,111638.67,126650.92
Raška oblast,net,median,5,5,80319.0,83713.92,80841.5,91604.17
Severnobanatska oblast,gross,median,6,6,37599.0,122683.12,119066.5,130781.5
Severnobanatska oblast,net,median,6,6,37599.0,88756.83,86426.67,94596.08
Severnobačka oblast,gross,median,3,3,55599.0,123843.08,116347.33,135621.17
Severnobačka oblast,net,median,3,3,55599.0,89577.08,84370.33,98278.0
Srednjobanatska oblast,gross,median,5,5,54431.0,124442.42,118514.33,137058.83
Srednjobanatska oblast,net,median,5,5,54431.0,90031.5,85820.17,99018.0
Sremska oblast,gross,median,7,7,102501.0,134542.41,122330.75,144985.17
Sremska oblast,net,median,7,7,102501.0,97131.92,88699.67,104649.0
Toplička oblast,gross,median,4,4,23698.0,115867.04,109399.75,122294.92
Toplička oblast,net,median,4,4,23698.0,83957.12,79345.75,88502.42
Zaječarska oblast,gross,median,4,4,27970.0,126183.04,113439.92,133788.58
Zaječarska oblast,net,median,4,4,27970.0,91088.46,82178.25,96700.92
Zapadnobačka oblast,gross,median,4,4,47808.0,122765.5,120578.58,126241.25
Zapadnobačka oblast,net,median,4,4,47808.0,88742.49,87137.5,91241.58
Zlatiborska oblast,gross,median,12,12,109928.0,120458.49,112512.08,141281.08
Zlatiborska oblast,net,median,12,12,109928.0,87031.96,81551.33,101839.59
Šumadijska oblast,gross,median,7,7,96289.0,120641.08,119134.75,143375.25
Šumadijska oblast,net,median,7,7,96289.0,87231.09,86208.33,103574.5
