administrative_district_name,earnings_type,aggregation_method,municipality_count,weight_observation_count,total_weight,weighted_avg_2025_value_rsd,min_2025_value_rsd,max_2025_value_rsd
Beogradski region,gross,weighted_average,17,17,712155.0,187527.68,127807.83,255513.83
Beogradski region,net,weighted_average,17,17,712155.0,136213.75,92373.0,187799.09
Borska oblast,gross,weighted_average,4,4,34713.0,156356.73,127588.17,175805.84
Borska oblast,net,weighted_average,4,4,34713.0,112570.04,92084.59,126452.92
Braničevska oblast,gross,weighted_average,10,10,69791.0,134172.28,112926.5,151462.59
Braničevska oblast,net,weighted_average,10,10,69791.0,96722.57,81998.75,108902.25
Jablanička oblast,gross,weighted_average,6,6,55018.0,114422.94,103278.58,126309.42
Jablanička oblast,net,weighted_average,6,6,55018.0,82898.26,75009.75,91270.33
Južnobanatska oblast,gross,weighted_average,8,8,86532.0,141109.78,119209.17,151633.91
Južnobanatska oblast,net,weighted_average,8,8,86532.0,101959.62,86177.33,109434.25
Južnobačka oblast,gross,weighted_average,12,12,234349.0,157457.21,113283.33,174478.5
Južnobačka oblast,net,weighted_average,12,12,234349.0,114091.18,82213.42,126477.58
Kolubarska oblast,gross,weighted_average,6,6,54166.0,131738.79,115667.08,141755.92
Kolubarska oblast,net,weighted_average,6,6,54166.0,95184.14,83802.58,102132.75
Mačvanska oblast,gross,weighted_average,8,8,85590.0,125380.23,114737.08,132227.0
Mačvanska oblast,net,weighted_average,8,8,85590.0,90779.04,83232.67,95697.75
Moravička oblast,gross,weighted_average,4,4,67237.0,131177.89,113629.67,150375.83
Moravička oblast,net,weighted_average,4,4,67237.0,94843.48,82488.33,108149.67
Nišavska oblast,gross,weighted_average,12,12,210027.0,141389.06,108328.42,164801.5
Nišavska oblast,net,weighted_average,12,12,210027.0,102260.88,78625.08,118934.33
Pirotska oblast,gross,weighted_average,4,4,23771.0,129016.88,112522.08,134892.42
Pirotska oblast,net,weighted_average,4,4,23771.0,93235.32,81669.42,97345.42
Podunavska oblast,gross,weighted_average,3,3,56615.0,132172.06,122293.67,138141.84
Podunavska oblast,net,weighted_average,3,3,56615.0,95504.64,88545.08,99712.08
Pomoravska oblast,gross,weighted_average,6,6,54828.0,120955.26,111720.67,124016.0
Pomoravska oblast,net,weighted_average,6,6,54828.0,87539.19,80896.41,89666.17
Pčinjska oblast,gross,weighted_average,9,9,73643.0,116718.68,102237.25,120112.08
Pčinjska oblast,net,weighted_average,9,9,73643.0,84515.98,73897.67,86932.83
Rasinska oblast,gross,weighted_average,6,6,68771.0,126420.69,112387.5,133615.16
Rasinska oblast,net,weighted_average,6,6,68771.0,91461.7,81396.25,96597.75
Raška oblast,gross,weighted_average,5,5,80319.0,120057.72,111638.67,126650.92
Raška oblast,net,weighted_average,5,5,80319.0,86853.22,80841.5,91604.17
Severnobanatska oblast,gross,weighted_average,6,6,37599.0,126751.21,119066.5,130781.5
Severnobanatska oblast,net,weighted_average,6,6,37599.0,91715.83,86426.67,94596.08
Severnobačka oblast,gross,weighted_average,3,3,55599.0,132891.75,116347.33,135621.17
Severnobačka oblast,net,weighted_average,3,3,55599.0,96278.52,84370.33,98278.0
Srednjobanatska oblast,gross,weighted_average,5,5,54431.0,132712.74,118514.33,137058.83
Srednjobanatska oblast,net,weighted_average,5,5,54431.0,95922.34,85820.17,99018.0
Sremska oblast,gross,weighted_average,7,7,102501.0,136346.06,122330.75,144985.17
Sremska oblast,net,weighted_average,7,7,102501.0,98485.33,88699.67,104649.0
Toplička oblast,gross,weighted_average,4,4,23698.0,118715.68,109399.75,122294.92
Toplička oblast,net,weighted_average,4,4,23698.0,85965.63,79345.75,88502.42
Zaječarska oblast,gross,weighted_average,4,4,27970.0,126936.72,113439.92,133788.58
Zaječarska oblast,net,weighted_average,4,4,27970.0,91765.27,82178.25,96700.92
Zapadnobačka oblast,gross,weighted_average,4,4,47808.0,124025.02,120578.58,126241.25
Zapadnobačka oblast,net,weighted_average,4,4,47808.0,89644.52,87137.5,91241.58
Zlatiborska oblast,gross,weighted_average,12,12,109928.0,129855.81,112512.08,141281.08
Zlatiborska oblast,net,weighted_average,12,12,109928.0,93712.79,81551.33,101839.59
Šumadijska oblast,gross,weighted_average,7,7,96289.0,136841.29,119134.75,143375.25
Šumadijska oblast,net,weighted_average,7,7,96289.0,98905.76,86208.33,103574.5
