municipality_code,municipality_name,earnings_type,macro_region_name,statistical_region_name,administrative_district_name,local_unit_type,city_group_name,value_2018_rsd,value_2025_rsd,absolute_growth_rsd,growth_pct
70017,Aleksandrovac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,52564.0,112396.0,59832.0,113.83
70017,Aleksandrovac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,38151.0,81403.0,43252.0,113.37
70025,Aleksinac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,56300.0,119381.0,63081.0,112.04
70025,Aleksinac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,40856.0,86408.0,45552.0,111.49
70033,Aranđelovac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,61717.0,129123.0,67406.0,109.22
70033,Aranđelovac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,44672.0,93406.0,48734.0,109.09
70041,Arilje,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,51151.0,112473.0,61322.0,119.88
70041,Arilje,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,37100.0,81523.0,44423.0,119.74
70050,Babušnica,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,57308.0,117978.0,60670.0,105.87
70050,Babušnica,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,41540.0,85464.0,43924.0,105.74
70068,Bajina Bašta,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,54775.0,116000.0,61225.0,111.78
70068,Bajina Bašta,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,39709.0,83884.0,44175.0,111.25
70076,Batočina,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,54179.0,119994.0,65815.0,121.48
70076,Batočina,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,39248.0,86906.0,47658.0,121.43
70084,Bela Palanka,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,52572.0,112474.0,59902.0,113.94
70084,Bela Palanka,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,38293.0,81633.0,43340.0,113.18
70092,Barajevo,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,59653.0,131453.0,71800.0,120.36
70092,Barajevo,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,43223.0,95017.0,51794.0,119.83
70106,Voždovac,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,87022.0,196547.0,109525.0,125.86
70106,Voždovac,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,62898.0,142554.0,79656.0,126.64
70114,Vračar,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,108485.0,247679.0,139194.0,128.31
70114,Vračar,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,78619.0,181664.0,103045.0,131.07
70122,Grocka,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,59864.0,134810.0,74946.0,125.19
70122,Grocka,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,43336.0,97460.0,54124.0,124.89
70149,Zvezdara,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,86516.0,193909.0,107393.0,124.13
70149,Zvezdara,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,62515.0,140610.0,78095.0,124.92
70157,Zemun,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,76986.0,176912.0,99926.0,129.8
70157,Zemun,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,55668.0,128136.0,72468.0,130.18
70165,Lazarevac,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,89607.0,153137.0,63530.0,70.9
70165,Lazarevac,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,64243.0,110208.0,45965.0,71.55
70173,Mladenovac,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,58054.0,127809.0,69755.0,120.16
70173,Mladenovac,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,42055.0,92374.0,50319.0,119.65
70181,Novi Beograd,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,104079.0,239519.0,135440.0,130.13
70181,Novi Beograd,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,75469.0,174881.0,99412.0,131.73
