municipality_code,municipality_name,earnings_type,macro_region_name,statistical_region_name,administrative_district_name,local_unit_type,city_group_name,from_year,from_quarter,to_year,to_quarter,from_value_rsd,to_value_rsd,change_pct,abs_change_pct
80454,Titel,net,SRBIJA – SEVER,Region Vojvodine,Južnobačka oblast,municipality,,2019,Q3,2019,Q4,54574.67,66256.33,21.4,21.4
80454,Titel,gross,SRBIJA – SEVER,Region Vojvodine,Južnobačka oblast,municipality,,2019,Q3,2019,Q4,75251.33,90313.33,20.02,20.02
70513,Doljevac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,2020,Q3,2020,Q4,61624.67,73825.0,19.8,19.8
70513,Doljevac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,2020,Q3,2020,Q4,44770.0,53523.67,19.55,19.55
80454,Titel,net,SRBIJA – SEVER,Region Vojvodine,Južnobačka oblast,municipality,,2020,Q1,2020,Q2,65721.0,52922.0,-19.47,19.47
80454,Titel,gross,SRBIJA – SEVER,Region Vojvodine,Južnobačka oblast,municipality,,2020,Q1,2020,Q2,89713.0,72983.67,-18.65,18.65
70742,Lučani,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2024,Q3,2024,Q4,134425.33,159455.67,18.62,18.62
70548,Žitorađa,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,2020,Q3,2020,Q4,63195.0,74941.33,18.59,18.59
70548,Žitorađa,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,2020,Q3,2020,Q4,45824.67,54315.0,18.53,18.53
70742,Lučani,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2023,Q3,2023,Q4,115863.0,137134.67,18.36,18.36
70742,Lučani,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2024,Q3,2024,Q4,96642.0,114281.67,18.25,18.25
70742,Lučani,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2023,Q3,2023,Q4,83250.33,98338.33,18.12,18.12
70777,Ljubovija,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,2025,Q3,2025,Q4,88529.0,104382.0,17.91,17.91
70742,Lučani,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2025,Q3,2025,Q4,143151.0,167988.0,17.35,17.35
70742,Lučani,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2025,Q3,2025,Q4,102978.0,120781.0,17.29,17.29
70742,Lučani,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2021,Q3,2021,Q4,84659.0,99035.67,16.98,16.98
70742,Lučani,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2021,Q3,2021,Q4,60998.0,71258.0,16.82,16.82
70777,Ljubovija,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,2025,Q3,2025,Q4,122642.0,142387.0,16.1,16.1
80454,Titel,gross,SRBIJA – SEVER,Region Vojvodine,Južnobačka oblast,municipality,,2019,Q2,2019,Q3,64914.67,75251.33,15.92,15.92
70335,Bosilegrad,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,2022,Q4,2023,Q1,73479.67,85074.33,15.78,15.78
80454,Titel,net,SRBIJA – SEVER,Region Vojvodine,Južnobačka oblast,municipality,,2019,Q2,2019,Q3,47156.0,54574.67,15.73,15.73
70742,Lučani,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2022,Q3,2022,Q4,97501.67,112755.0,15.64,15.64
70335,Bosilegrad,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,2022,Q4,2023,Q1,53077.0,61341.0,15.57,15.57
70742,Lučani,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2022,Q3,2022,Q4,70126.0,80946.33,15.43,15.43
70688,Kuršumlija,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,2023,Q3,2023,Q4,65249.67,75170.67,15.2,15.2
70491,Despotovac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,2019,Q3,2019,Q4,46370.33,53399.33,15.16,15.16
70688,Kuršumlija,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,2023,Q3,2023,Q4,90284.67,103425.33,14.55,14.55
71161,Trgovište,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,2023,Q4,2024,Q1,62524.67,71562.67,14.46,14.46
71161,Trgovište,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,2023,Q4,2024,Q1,86419.0,98859.0,14.39,14.39
70939,Pirot,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,2018,Q3,2018,Q4,70061.67,80014.0,14.21,14.21
70327,Bor,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2022,Q4,2023,Q1,88408.0,100907.0,14.14,14.14
70939,Pirot,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,2018,Q3,2018,Q4,50529.67,57628.33,14.05,14.05
71358,Vranjska Banja,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,city_municipality,Grad Vranje,2019,Q3,2019,Q4,38047.67,43394.67,14.05,14.05
70327,Bor,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2023,Q4,2024,Q1,98999.33,112890.67,14.03,14.03
80225,Kovin,net,SRBIJA – SEVER,Region Vojvodine,Južnobanatska oblast,municipality,,2019,Q2,2019,Q3,48100.67,54824.67,13.98,13.98
70327,Bor,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2022,Q4,2023,Q1,122870.0,139858.67,13.83,13.83
