idindikator;mes;god;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040409IND02;00;1963;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1964;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1965;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1966;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1967;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1968;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1969;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1970;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1971;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1972;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1973;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1974;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1975;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1976;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1977;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1978;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1979;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1980;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040409IND02;00;1981;RS;REPUBLIC OF SERBIA;;NR;number;SORS;Average gross earnings;M;Missing value - data cannot exist
