idindikator;mes;god;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040409IND01;00;1963;RS;REPUBLIC OF SERBIA;3156;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1964;RS;REPUBLIC OF SERBIA;4032;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1965;RS;REPUBLIC OF SERBIA;5628;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1966;RS;REPUBLIC OF SERBIA;7992;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1967;RS;REPUBLIC OF SERBIA;9144;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1968;RS;REPUBLIC OF SERBIA;9900;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1969;RS;REPUBLIC OF SERBIA;11376;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1970;RS;REPUBLIC OF SERBIA;13188;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1971;RS;REPUBLIC OF SERBIA;16164;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1972;RS;REPUBLIC OF SERBIA;18888;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1973;RS;REPUBLIC OF SERBIA;21936;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1974;RS;REPUBLIC OF SERBIA;28524;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1975;RS;REPUBLIC OF SERBIA;35160;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1976;RS;REPUBLIC OF SERBIA;40896;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1977;RS;REPUBLIC OF SERBIA;48696;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1978;RS;REPUBLIC OF SERBIA;58380;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1979;RS;REPUBLIC OF SERBIA;69912;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1980;RS;REPUBLIC OF SERBIA;83604;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1981;RS;REPUBLIC OF SERBIA;112260;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1982;RS;REPUBLIC OF SERBIA;143016;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1983;RS;REPUBLIC OF SERBIA;181932;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1984;RS;REPUBLIC OF SERBIA;260616;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1985;RS;REPUBLIC OF SERBIA;454080;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1986;RS;REPUBLIC OF SERBIA;924528;NR;number;SORS;Average net earnings;A;Normal value
2403040409IND01;00;1987;RS;REPUBLIC OF SERBIA;1854228;NR;number;SORS;Average net earnings;A;Normal value
