idindikator;mes;god;IDKD08;nkd08;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040402IND02;00;2018;0;Total;RS;REPUBLIC OF SERBIA;68629;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;0;Total;RS;REPUBLIC OF SERBIA;75814;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;0;Total;RS;REPUBLIC OF SERBIA;82984;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;0;Total;RS;REPUBLIC OF SERBIA;90784;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;0;Total;RS;REPUBLIC OF SERBIA;103316;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;0;Total;RS;REPUBLIC OF SERBIA;118599;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;0;Total;RS;REPUBLIC OF SERBIA;135403;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;0;Total;RS;REPUBLIC OF SERBIA;151086;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;01;Crop and animal production, hunting and related service activities;RS;REPUBLIC OF SERBIA;121353;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;01;Crop and animal production, hunting and related service activities;RS;REPUBLIC OF SERBIA;108980;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;01;Crop and animal production, hunting and related service activities;RS;REPUBLIC OF SERBIA;97321;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;01;Crop and animal production, hunting and related service activities;RS;REPUBLIC OF SERBIA;85860;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;01;Crop and animal production, hunting and related service activities;RS;REPUBLIC OF SERBIA;77567;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;01;Crop and animal production, hunting and related service activities;RS;REPUBLIC OF SERBIA;71398;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;01;Crop and animal production, hunting and related service activities;RS;REPUBLIC OF SERBIA;65202;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;01;Crop and animal production, hunting and related service activities;RS;REPUBLIC OF SERBIA;58966;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;02;Forestry and logging;RS;REPUBLIC OF SERBIA;60178;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;02;Forestry and logging;RS;REPUBLIC OF SERBIA;67908;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;02;Forestry and logging;RS;REPUBLIC OF SERBIA;76869;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;02;Forestry and logging;RS;REPUBLIC OF SERBIA;78190;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;02;Forestry and logging;RS;REPUBLIC OF SERBIA;85420;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;02;Forestry and logging;RS;REPUBLIC OF SERBIA;95137;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;02;Forestry and logging;RS;REPUBLIC OF SERBIA;106135;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;02;Forestry and logging;RS;REPUBLIC OF SERBIA;118409;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;03;Fishing and aquaculture;RS;REPUBLIC OF SERBIA;101690;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;03;Fishing and aquaculture;RS;REPUBLIC OF SERBIA;89087;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;03;Fishing and aquaculture;RS;REPUBLIC OF SERBIA;75287;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;03;Fishing and aquaculture;RS;REPUBLIC OF SERBIA;66357;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;03;Fishing and aquaculture;RS;REPUBLIC OF SERBIA;58457;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;03;Fishing and aquaculture;RS;REPUBLIC OF SERBIA;59516;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;03;Fishing and aquaculture;RS;REPUBLIC OF SERBIA;53428;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;03;Fishing and aquaculture;RS;REPUBLIC OF SERBIA;56551;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;05;Mining of coal and lignite;RS;REPUBLIC OF SERBIA;111128;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;05;Mining of coal and lignite;RS;REPUBLIC OF SERBIA;122641;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;05;Mining of coal and lignite;RS;REPUBLIC OF SERBIA;126169;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;05;Mining of coal and lignite;RS;REPUBLIC OF SERBIA;134375;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;05;Mining of coal and lignite;RS;REPUBLIC OF SERBIA;138535;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;05;Mining of coal and lignite;RS;REPUBLIC OF SERBIA;154612;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;05;Mining of coal and lignite;RS;REPUBLIC OF SERBIA;170311;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;05;Mining of coal and lignite;RS;REPUBLIC OF SERBIA;187581;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;06;Extraction of crude petroleum and natural gas;RS;REPUBLIC OF SERBIA;262931;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;06;Extraction of crude petroleum and natural gas;RS;REPUBLIC OF SERBIA;218042;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;06;Extraction of crude petroleum and natural gas;RS;REPUBLIC OF SERBIA;210824;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;06;Extraction of crude petroleum and natural gas;RS;REPUBLIC OF SERBIA;181794;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;06;Extraction of crude petroleum and natural gas;RS;REPUBLIC OF SERBIA;167461;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;06;Extraction of crude petroleum and natural gas;RS;REPUBLIC OF SERBIA;163404;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;06;Extraction of crude petroleum and natural gas;RS;REPUBLIC OF SERBIA;177802;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;06;Extraction of crude petroleum and natural gas;RS;REPUBLIC OF SERBIA;150457;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;07;Mining of metal ores;RS;REPUBLIC OF SERBIA;93499;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;07;Mining of metal ores;RS;REPUBLIC OF SERBIA;109576;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;07;Mining of metal ores;RS;REPUBLIC OF SERBIA;125684;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;07;Mining of metal ores;RS;REPUBLIC OF SERBIA;138324;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;07;Mining of metal ores;RS;REPUBLIC OF SERBIA;151723;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;07;Mining of metal ores;RS;REPUBLIC OF SERBIA;174285;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;07;Mining of metal ores;RS;REPUBLIC OF SERBIA;200367;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;07;Mining of metal ores;RS;REPUBLIC OF SERBIA;224324;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;08;Other mining and quarrying;RS;REPUBLIC OF SERBIA;149488;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;08;Other mining and quarrying;RS;REPUBLIC OF SERBIA;137712;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;08;Other mining and quarrying;RS;REPUBLIC OF SERBIA;121418;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;08;Other mining and quarrying;RS;REPUBLIC OF SERBIA;113682;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;08;Other mining and quarrying;RS;REPUBLIC OF SERBIA;98792;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;08;Other mining and quarrying;RS;REPUBLIC OF SERBIA;87243;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;08;Other mining and quarrying;RS;REPUBLIC OF SERBIA;80658;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;08;Other mining and quarrying;RS;REPUBLIC OF SERBIA;67640;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;09;Mining support service activities;RS;REPUBLIC OF SERBIA;162460;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;09;Mining support service activities;RS;REPUBLIC OF SERBIA;186190;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;09;Mining support service activities;RS;REPUBLIC OF SERBIA;150580;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;09;Mining support service activities;RS;REPUBLIC OF SERBIA;155293;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;09;Mining support service activities;RS;REPUBLIC OF SERBIA;165353;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;09;Mining support service activities;RS;REPUBLIC OF SERBIA;188353;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;09;Mining support service activities;RS;REPUBLIC OF SERBIA;192380;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;09;Mining support service activities;RS;REPUBLIC OF SERBIA;202654;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;10;Manufacture of food products;RS;REPUBLIC OF SERBIA;119571;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;10;Manufacture of food products;RS;REPUBLIC OF SERBIA;105237;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;10;Manufacture of food products;RS;REPUBLIC OF SERBIA;90495;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;10;Manufacture of food products;RS;REPUBLIC OF SERBIA;78334;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;10;Manufacture of food products;RS;REPUBLIC OF SERBIA;69331;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;10;Manufacture of food products;RS;REPUBLIC OF SERBIA;63483;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;10;Manufacture of food products;RS;REPUBLIC OF SERBIA;58581;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;10;Manufacture of food products;RS;REPUBLIC OF SERBIA;55128;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;11;Manufacture of beverages;RS;REPUBLIC OF SERBIA;94578;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;11;Manufacture of beverages;RS;REPUBLIC OF SERBIA;95911;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;11;Manufacture of beverages;RS;REPUBLIC OF SERBIA;98499;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;11;Manufacture of beverages;RS;REPUBLIC OF SERBIA;104247;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;11;Manufacture of beverages;RS;REPUBLIC OF SERBIA;112783;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;11;Manufacture of beverages;RS;REPUBLIC OF SERBIA;125576;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;11;Manufacture of beverages;RS;REPUBLIC OF SERBIA;140137;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;11;Manufacture of beverages;RS;REPUBLIC OF SERBIA;157407;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;12;Manufacture of tobacco products;RS;REPUBLIC OF SERBIA;256251;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;12;Manufacture of tobacco products;RS;REPUBLIC OF SERBIA;245633;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;12;Manufacture of tobacco products;RS;REPUBLIC OF SERBIA;194289;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;12;Manufacture of tobacco products;RS;REPUBLIC OF SERBIA;175076;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;12;Manufacture of tobacco products;RS;REPUBLIC OF SERBIA;165875;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;12;Manufacture of tobacco products;RS;REPUBLIC OF SERBIA;175576;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;12;Manufacture of tobacco products;RS;REPUBLIC OF SERBIA;150504;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;12;Manufacture of tobacco products;RS;REPUBLIC OF SERBIA;140635;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;13;Manufacture of textiles;RS;REPUBLIC OF SERBIA;53999;RSD;RSD;SORS;Average gross earnings;A;Normal value
