idindikator;mes;god;IDZarStatusPS;nZarStatusPS;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040406IND02;00;2018;0;Total;RS;REPUBLIC OF SERBIA;68629;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2018;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;72700;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2018;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;37651;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2019;0;Total;RS;REPUBLIC OF SERBIA;75814;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2019;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;80572;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2019;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;40688;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2020;0;Total;RS;REPUBLIC OF SERBIA;82984;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2020;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;88369;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2020;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;45147;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2021;0;Total;RS;REPUBLIC OF SERBIA;90784;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2021;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;96893;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2021;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;48196;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2022;0;Total;RS;REPUBLIC OF SERBIA;103316;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2022;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;110120;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2022;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;53721;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2023;0;Total;RS;REPUBLIC OF SERBIA;118599;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2023;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;126569;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2023;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;61185;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2024;0;Total;RS;REPUBLIC OF SERBIA;135403;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2024;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;144343;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2024;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;71088;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2025;0;Total;RS;REPUBLIC OF SERBIA;151086;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2025;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;160880;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040406IND02;00;2025;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;81398;RSD;RSD;SORS;Average gross earnings;A;Normal value
