idindikator;mes;god;IDModalitetZarZap;nModalitetZarZap;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040405IND02;00;2018;0;Total;RS;REPUBLIC OF SERBIA;68629;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2018;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;69057;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2018;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;46893;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2019;0;Total;RS;REPUBLIC OF SERBIA;75814;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2019;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;76269;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2019;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;50562;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2020;0;Total;RS;REPUBLIC OF SERBIA;82984;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2020;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;83384;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2020;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;54489;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2021;0;Total;RS;REPUBLIC OF SERBIA;90784;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2021;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;91198;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2021;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;59018;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2022;0;Total;RS;REPUBLIC OF SERBIA;103316;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;103811;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2022;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;64936;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2023;0;Total;RS;REPUBLIC OF SERBIA;118599;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2023;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;119135;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2023;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;72946;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2024;0;Total;RS;REPUBLIC OF SERBIA;135403;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2024;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;135961;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2024;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;84738;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2025;0;Total;RS;REPUBLIC OF SERBIA;151086;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2025;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;151692;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040405IND02;00;2025;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;94567;RSD;RSD;SORS;Average gross earnings;A;Normal value
