idindikator;mes;god;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040403IND02;00;2018;70017;Aleksandrovac;52564;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70025;Aleksinac;56300;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70033;Aranđelovac;61717;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70041;Arilje;51151;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70050;Babušnica;57308;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70068;Bajina Bašta;54775;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70076;Batočina;54179;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70084;Bela Palanka;52572;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70092;Barajevo;59653;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70106;Voždovac;87022;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70114;Vračar;108485;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70122;Grocka;59864;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70149;Zvezdara;86516;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70157;Zemun;76986;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70165;Lazarevac;89607;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70173;Mladenovac;58054;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70181;Novi Beograd;104079;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70190;Obrenovac;70944;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70203;Palilula (Beograd);76299;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70211;Rakovica;77501;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70220;Savski venac;92859;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70238;Sopot;57814;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70246;Stari grad;102793;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70254;Čukarica;82053;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70262;Blace;52142;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70289;Bogatić;53339;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70297;Bojnik;49887;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70319;Boljevac;59721;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70327;Bor;73589;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70335;Bosilegrad;54151;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70343;Brus;52032;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70351;Bujanovac;52617;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70360;Valjevo;61524;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70378;Varvarin;50011;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70386;Velika Plana;57038;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70394;Veliko Gradište;53646;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70408;Vladimirci;52304;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70416;Vladičin Han;56838;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70424;Vlasotince;48332;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70432;Vranje;58450;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70459;Vrnjačka Banja;53212;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70467;Gadžin Han;47156;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70475;Golubac;53235;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70483;Gornji Milanovac;64031;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70491;Despotovac;60401;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70505;Dimitrovgrad;52620;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70513;Doljevac;50468;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70521;Žabari;49909;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70530;Žagubica;58220;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70548;Žitorađa;53086;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70556;Zaječar;60466;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70564;Ivanjica;50481;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70572;Kladovo;62961;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70599;Knić;57360;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70602;Knjaževac;51518;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70629;Kosjerić;60791;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70637;Koceljeva;52350;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70645;Kragujevac;66531;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70653;Kraljevo;58968;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70661;Krupanj;50441;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70670;Kruševac;59341;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70688;Kuršumlija;56595;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70696;Kučevo;54024;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70700;Lajkovac;82262;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70718;Lebane;51982;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70726;Leskovac;55098;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70734;Loznica;54673;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70742;Lučani;73258;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70769;Ljig;63532;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70777;Ljubovija;60553;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70785;Majdanpek;68165;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70793;Mali Zvornik;56205;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70807;Malo Crniće;53957;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70815;Medveđa;62376;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70823;Merošina;50477;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70831;Mionica;55588;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70840;Negotin;58457;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70866;Nova Varoš;56082;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70874;Novi Pazar;51529;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70882;Osečina;54343;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70904;Paraćin;55868;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70912;Petrovac na Mlavi;51700;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70939;Pirot;72036;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70947;Požarevac;69990;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70955;Požega;58679;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70963;Preševo;52996;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040403IND02;00;2018;70971;Priboj;55752;RSD;RSD;SORS;Average gross earnings;A;Normal value
