idindikator;IDTer;nTer;IDJavniSEK;nJavniSEK;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040404IND02;RS;REPUBLIC OF SERBIA;0;Total;00;2003;16612;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2003;23703;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2003;21288;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2003;13389;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2003;24317;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2003;22284;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2003;19923;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2003;18777;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2003;19266;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2003;23918;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;00;2003;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;00;2003;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;00;2003;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;0;Total;00;2004;20555;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2004;28744;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2004;25725;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2004;16636;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2004;29101;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2004;27962;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2004;24056;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2004;23127;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2004;22950;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2004;28277;RSD;RSD;SORS;Average gross earnings;A;Normal value
