idindikator;IDTer;nTer;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1963;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1964;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1965;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1966;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1967;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1968;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1969;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1970;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1971;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1972;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1973;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1974;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1975;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1976;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1977;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
