idindikator;mes;god;IDZarStatusPS;nZarStatusPS;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040406IND01;00;2018;0;Total;RS;REPUBLIC OF SERBIA;49650;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2018;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;52653;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2018;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;26801;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2019;0;Total;RS;REPUBLIC OF SERBIA;54919;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2019;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;58439;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2019;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;28934;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2020;0;Total;RS;REPUBLIC OF SERBIA;60073;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2020;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;64071;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2020;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;31978;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2021;0;Total;RS;REPUBLIC OF SERBIA;65864;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2021;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;70393;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2021;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;34296;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2022;0;Total;RS;REPUBLIC OF SERBIA;74933;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2022;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;79976;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2022;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;38180;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2023;0;Total;RS;REPUBLIC OF SERBIA;86007;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2023;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;91909;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2023;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;43491;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2024;0;Total;RS;REPUBLIC OF SERBIA;98143;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2024;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;104769;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2024;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;50483;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2025;0;Total;RS;REPUBLIC OF SERBIA;109462;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2025;1;Salaries and wages of employees at legal entities;RS;REPUBLIC OF SERBIA;116733;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040406IND01;00;2025;2;Salaries and wages of entrepreneurs and their employees;RS;REPUBLIC OF SERBIA;57730;RSD;RSD;SORS;Average net earnings;A;Normal value
