idindikator;mes;god;IDModalitetZarZap;nModalitetZarZap;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040405IND01;00;2018;0;Total;RS;REPUBLIC OF SERBIA;49650;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2018;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;49981;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2018;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;32867;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2019;0;Total;RS;REPUBLIC OF SERBIA;54919;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2019;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;55271;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2019;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;35440;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2020;0;Total;RS;REPUBLIC OF SERBIA;60073;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2020;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;60380;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2020;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;38190;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2021;0;Total;RS;REPUBLIC OF SERBIA;65864;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2021;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;66184;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2021;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;41350;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2022;0;Total;RS;REPUBLIC OF SERBIA;74933;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;75313;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2022;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;45499;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2023;0;Total;RS;REPUBLIC OF SERBIA;86007;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2023;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;86417;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2023;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;51095;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2024;0;Total;RS;REPUBLIC OF SERBIA;98143;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2024;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;98571;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2024;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;59361;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2025;0;Total;RS;REPUBLIC OF SERBIA;109462;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2025;1;Salaries and wages of employees with indefinite or fixed-term employment contract;RS;REPUBLIC OF SERBIA;109925;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040405IND01;00;2025;2;Salaries and wages of employees in temporary and occasional employment;RS;REPUBLIC OF SERBIA;66239;RSD;RSD;SORS;Average net earnings;A;Normal value
