idindikator;mes;god;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040403IND01;00;2018;70017;Aleksandrovac;38151;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70025;Aleksinac;40856;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70033;Aranđelovac;44672;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70041;Arilje;37100;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70050;Babušnica;41540;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70068;Bajina Bašta;39709;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70076;Batočina;39248;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70084;Bela Palanka;38293;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70092;Barajevo;43223;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70106;Voždovac;62898;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70114;Vračar;78619;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70122;Grocka;43336;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70149;Zvezdara;62515;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70157;Zemun;55668;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70165;Lazarevac;64243;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70173;Mladenovac;42055;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70181;Novi Beograd;75469;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70190;Obrenovac;51135;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70203;Palilula (Beograd);55125;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70211;Rakovica;55977;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70220;Savski venac;67111;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70238;Sopot;41867;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70246;Stari grad;74332;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70254;Čukarica;59273;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70262;Blace;37919;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70289;Bogatić;38712;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70297;Bojnik;36290;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70319;Boljevac;43260;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70327;Bor;53023;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70335;Bosilegrad;39340;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70343;Brus;37810;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70351;Bujanovac;38286;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70360;Valjevo;44508;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70378;Varvarin;36260;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70386;Velika Plana;41362;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70394;Veliko Gradište;38708;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70408;Vladimirci;38068;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70416;Vladičin Han;41240;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70424;Vlasotince;35243;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70432;Vranje;42356;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70459;Vrnjačka Banja;38544;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70467;Gadžin Han;34391;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70475;Golubac;38636;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040403IND01;00;2018;70483;Gornji Milanovac;46307;RSD;RSD;SORS;Average net earnings;A;Normal value
