idindikator;IDTer;nTer;IDJavniSEK;nJavniSEK;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040404IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2003;11500;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2003;16442;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2003;14757;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2003;9257;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2003;16868;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2003;15456;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2003;13804;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2003;13037;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2003;13304;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2003;16591;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;00;2003;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;00;2003;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;00;2003;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2004;14108;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2004;19741;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2004;17662;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2004;11415;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2004;19983;RSD;RSD;SORS;Average net earnings;A;Normal value
