idindikator;IDTer;nTer;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1963;263;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1964;336;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1965;469;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1966;666;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1967;762;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1968;825;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1969;948;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1970;1099;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1971;1347;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1972;1574;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1973;1828;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1974;2377;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1975;2930;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1976;3408;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1977;4058;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1978;4865;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1979;5826;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1980;6967;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1981;9355;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1982;11918;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1983;15161;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1984;21718;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1985;37840;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1986;77044;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1987;154519;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1988;424553;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1989;7641781;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1990;4040;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1991;8474;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1992;39389;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1993;1003;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1994;165;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1995;343;RSD;RSD;SORS;Average net earnings;A;Normal value
