idindikator;IDTer;nTer;IDZarStatusPS;nZarStatusPS;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2018;69218;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;01;2018;73157;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;01;2018;38444;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2019;75296;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;01;2019;79815;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;01;2019;41266;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2020;82836;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;01;2020;87871;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;01;2020;45537;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2021;87058;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;01;2021;92788;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;01;2021;46288;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2022;97877;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;01;2022;104313;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;01;2022;51965;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2023;114228;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;01;2023;121653;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;01;2023;60369;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2024;132372;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;01;2024;140742;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;01;2024;71435;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2025;148440;RSD;RSD;SORS;Average gross earnings;A;Normal value
