idindikator;IDTer;nTer;IDModalitetZarZap;nModalitetZarZap;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2018;69218;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2018;69581;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2018;47304;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2019;75296;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2019;75704;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2019;50529;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2020;82836;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2020;83249;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2020;54820;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2021;87058;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2021;87409;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2021;57463;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2022;97877;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2022;98275;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2022;62255;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2023;114228;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2023;114675;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2023;69972;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2024;132372;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2024;132851;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2024;83536;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2025;148440;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2025;148945;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2025;95251;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;01;2026;163385;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2026;163928;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2026;105182;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;02;2018;66084;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2018;66451;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2018;45183;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;02;2019;72350;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2019;72773;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2019;48341;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;02;2020;80288;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2020;80731;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2020;52648;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;02;2021;85864;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2021;86234;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2021;56085;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;02;2022;97392;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2022;97827;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2022;61410;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;02;2023;112212;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2023;112693;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2023;69094;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;02;2024;129934;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2024;130463;RSD;RSD;SORS;Average gross earnings;A;Normal value
