idindikator;mes;god;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040103IND02;01;2018;70017;Aleksandrovac;52914;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70025;Aleksinac;57123;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70033;Aranđelovac;62617;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70041;Arilje;51525;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70050;Babušnica;57456;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70068;Bajina Bašta;56243;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70076;Batočina;54394;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70084;Bela Palanka;53961;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70092;Barajevo;60081;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70106;Voždovac;87390;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70114;Vračar;108050;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70122;Grocka;60112;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70149;Zvezdara;87149;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70157;Zemun;76982;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70165;Lazarevac;92212;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70173;Mladenovac;58648;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70181;Novi Beograd;104093;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70190;Obrenovac;70301;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70203;Palilula (Beograd);76791;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70211;Rakovica;77937;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70220;Savski venac;92526;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70238;Sopot;58506;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70246;Stari grad;102881;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70254;Čukarica;82495;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040103IND02;01;2018;70262;Blace;53436;RSD;RSD;SORS;Average gross earnings;A;Normal value
