idindikator;IDTer;nTer;mes;god;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2003;0;Total;13659;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2003;0_JP_JD_JL;Public enterprises;21260;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2003;0_JS;Public sector;17550;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2003;0_VJS;Non-public sector;11064;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2003;1_JD;Public state enterprises;22100;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2003;2_JL;Public local enterprises;19254;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2003;3_4_5_BK;General government;15439;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2003;3_ZS;Health and social work;12323;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2003;4_OK;Education and culture;17953;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2003;5_AD;Administration - all levels;18331;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2003;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2003;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2003;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2004;0;Total;17498;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2004;0_JP_JD_JL;Public enterprises;26406;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2004;0_JS;Public sector;21573;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2004;0_VJS;Non-public sector;14515;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2004;1_JD;Public state enterprises;27328;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2004;2_JL;Public local enterprises;24316;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2004;3_4_5_BK;General government;18892;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2004;3_ZS;Health and social work;14937;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2004;4_OK;Education and culture;21016;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2004;5_AD;Administration - all levels;24189;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2004;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2004;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2004;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2005;0;Total;20897;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2005;0_JP_JD_JL;Public enterprises;31314;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2005;0_JS;Public sector;25403;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2005;0_VJS;Non-public sector;17212;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2005;1_JD;Public state enterprises;31702;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2005;2_JL;Public local enterprises;30508;RSD;RSD;SORS;Average gross earnings;A;Normal value
