idindikator;IDTer;nTer;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1977;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1978;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1979;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1980;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1981;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1982;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1983;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1984;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1985;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1986;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1987;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1988;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1989;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1990;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1991;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1992;24078;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1993;374198;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1994;45;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1995;438;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;01;1996;768;RSD;RSD;SORS;Average gross earnings;A;Normal value
