idindikator;IDTer;nTer;IDModalitetZarZap;nModalitetZarZap;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;01;2018;50048;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2018;50328;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2018;33155;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;01;2019;54521;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2019;54836;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2019;35417;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;01;2020;59941;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2020;60258;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2020;38422;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;01;2021;63109;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2021;63380;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2021;40243;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;01;2022;70920;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2022;71225;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2022;43617;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;01;2023;82769;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2023;83110;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2023;49024;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;01;2024;95836;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2024;96202;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2024;58512;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;01;2025;107476;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2025;107863;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2025;66724;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;01;2026;118429;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;01;2026;118846;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;01;2026;73674;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;02;2018;47819;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2018;48102;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2018;31669;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;02;2019;52426;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2019;52753;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;02;2019;33876;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;02;2020;58132;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;02;2020;58472;RSD;RSD;SORS;Average net earnings;A;Normal value
