idindikator;mes;god;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040103IND01;01;2018;70017;Aleksandrovac;38331;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70025;Aleksinac;41426;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70033;Aranđelovac;45289;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70041;Arilje;37357;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70050;Babušnica;41658;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70068;Bajina Bašta;40704;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70076;Batočina;39376;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70084;Bela Palanka;39270;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70092;Barajevo;43518;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70106;Voždovac;63109;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70114;Vračar;78193;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70122;Grocka;43500;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70149;Zvezdara;62943;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70157;Zemun;55647;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70165;Lazarevac;66056;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70173;Mladenovac;42460;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70181;Novi Beograd;75423;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70190;Obrenovac;50655;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70203;Palilula (Beograd);55463;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70211;Rakovica;56252;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70220;Savski venac;66816;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70238;Sopot;42324;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70246;Stari grad;74314;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70254;Čukarica;59550;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70262;Blace;38831;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70289;Bogatić;39570;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70297;Bojnik;38242;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70319;Boljevac;43275;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70327;Bor;53625;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70335;Bosilegrad;39594;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70343;Brus;38702;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70351;Bujanovac;38683;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70360;Valjevo;44787;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70378;Varvarin;36581;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70386;Velika Plana;41890;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70394;Veliko Gradište;39702;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70408;Vladimirci;38323;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70416;Vladičin Han;40910;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70424;Vlasotince;36184;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70432;Vranje;42829;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70459;Vrnjačka Banja;39541;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70467;Gadžin Han;35044;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70475;Golubac;40265;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70483;Gornji Milanovac;45366;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70491;Despotovac;44833;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70505;Dimitrovgrad;39203;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70513;Doljevac;37447;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70521;Žabari;37221;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70530;Žagubica;42578;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70548;Žitorađa;40474;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040103IND01;01;2018;70556;Zaječar;44721;RSD;RSD;SORS;Average net earnings;A;Normal value
