idindikator;IDTer;nTer;mes;god;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2003;0;Total;9468;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2003;0_JP_JD_JL;Public enterprises;14818;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2003;0_JS;Public sector;12178;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2003;0_VJS;Non-public sector;7664;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2003;1_JD;Public state enterprises;15412;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2003;2_JL;Public local enterprises;13400;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2003;3_4_5_BK;General government;10675;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2003;3_ZS;Health and social work;8486;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2003;4_OK;Education and culture;12443;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2003;5_AD;Administration - all levels;12702;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2003;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2003;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2003;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2004;0;Total;12078;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2004;0_JP_JD_JL;Public enterprises;18238;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2004;0_JS;Public sector;14890;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2004;0_VJS;Non-public sector;10022;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2004;1_JD;Public state enterprises;18842;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2004;2_JL;Public local enterprises;16866;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2004;3_4_5_BK;General government;13033;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2004;3_ZS;Health and social work;10266;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2004;4_OK;Education and culture;14512;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2004;5_AD;Administration - all levels;16753;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2004;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2004;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2004;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2005;0;Total;14262;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2005;0_JP_JD_JL;Public enterprises;21335;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2005;0_JS;Public sector;17317;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2005;0_VJS;Non-public sector;11764;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2005;1_JD;Public state enterprises;21587;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2005;2_JL;Public local enterprises;20813;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2005;3_4_5_BK;General government;15091;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2005;3_ZS;Health and social work;12368;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2005;4_OK;Education and culture;16400;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2005;5_AD;Administration - all levels;18980;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2005;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2005;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2005;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2006;0;Total;18191;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2006;0_JP_JD_JL;Public enterprises;24940;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2006;0_JS;Public sector;21322;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2006;0_VJS;Non-public sector;15502;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2006;1_JD;Public state enterprises;26556;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2006;2_JL;Public local enterprises;22086;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2006;3_4_5_BK;General government;19424;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2006;3_ZS;Health and social work;14218;RSD;RSD;SORS;Average net earnings;A;Normal value
