idindikator;IDTer;nTer;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1977;3520;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1978;4290;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1979;5113;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1980;5971;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1981;7661;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1982;10142;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1983;12400;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1984;17282;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1985;26606;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1986;52627;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1987;105563;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1988;239321;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1989;909097;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1990;3008;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1991;5953;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1992;15599;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1993;260242;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1994;25;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1995;266;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1996;460;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1997;614;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1998;938;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;1999;1168;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;2000;1599;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;2001;3821;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;2002;7435;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;2003;9468;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;2004;12078;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;2005;14263;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;2006;18191;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;2007;24122;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;01;2008;28230;RSD;RSD;SORS;Average net earnings;A;Normal value
