idindikator;IDTer;nTer;mes;god;IDModalitetRegZap;nModalitetRegZap;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2016;0;Registered employment - total;1977914;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2016;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");1574671;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2016;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");312656;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2016;03;Registered individual agricultural producers (farmers);90587;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2016;0;Registered employment - total;1161532;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2016;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");981547;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2016;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");151557;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2016;03;Registered individual agricultural producers (farmers);28428;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS11;Beogradski region;K1;2016;0;Registered employment - total;656693;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS11;Beogradski region;K1;2016;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");582311;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS11;Beogradski region;K1;2016;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");71286;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS11;Beogradski region;K1;2016;03;Registered individual agricultural producers (farmers);3097;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS12;Region Vojvodine;K1;2016;0;Registered employment - total;504839;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS12;Region Vojvodine;K1;2016;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");399237;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS12;Region Vojvodine;K1;2016;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");80271;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS12;Region Vojvodine;K1;2016;03;Registered individual agricultural producers (farmers);25331;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS2;SRBIJA – JUG;K1;2016;0;Registered employment - total;816381;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS2;SRBIJA – JUG;K1;2016;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");593124;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS2;SRBIJA – JUG;K1;2016;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");161099;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS2;SRBIJA – JUG;K1;2016;03;Registered individual agricultural producers (farmers);62158;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS21;Region Šumadije i Zapadne Srbije;K1;2016;0;Registered employment - total;467908;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS21;Region Šumadije i Zapadne Srbije;K1;2016;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");329958;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS21;Region Šumadije i Zapadne Srbije;K1;2016;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");95763;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS21;Region Šumadije i Zapadne Srbije;K1;2016;03;Registered individual agricultural producers (farmers);42186;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS22;Region Južne i Istočne Srbije;K1;2016;0;Registered employment - total;348474;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS22;Region Južne i Istočne Srbije;K1;2016;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");263165;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS22;Region Južne i Istočne Srbije;K1;2016;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");65336;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS22;Region Južne i Istočne Srbije;K1;2016;03;Registered individual agricultural producers (farmers);19973;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS23;Region Kosovo i Metohija;K1;2016;0;Registered employment - total;;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);O;Not available
24021304IND01;RS23;Region Kosovo i Metohija;K1;2016;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);O;Not available
24021304IND01;RS23;Region Kosovo i Metohija;K1;2016;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);O;Not available
24021304IND01;RS23;Region Kosovo i Metohija;K1;2016;03;Registered individual agricultural producers (farmers);;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);O;Not available
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2017;0;Registered employment - total;2024516;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2017;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");1605550;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2017;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");331453;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2017;03;Registered individual agricultural producers (farmers);87513;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2017;0;Registered employment - total;1192366;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2017;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");1003561;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2017;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");161409;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2017;03;Registered individual agricultural producers (farmers);27396;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS11;Beogradski region;K1;2017;0;Registered employment - total;677995;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS11;Beogradski region;K1;2017;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");598025;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS11;Beogradski region;K1;2017;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");76859;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS11;Beogradski region;K1;2017;03;Registered individual agricultural producers (farmers);3112;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS12;Region Vojvodine;K1;2017;0;Registered employment - total;514370;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS12;Region Vojvodine;K1;2017;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");405536;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS12;Region Vojvodine;K1;2017;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");84550;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS12;Region Vojvodine;K1;2017;03;Registered individual agricultural producers (farmers);24284;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS2;SRBIJA – JUG;K1;2017;0;Registered employment - total;832150;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS2;SRBIJA – JUG;K1;2017;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");601989;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS2;SRBIJA – JUG;K1;2017;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");170044;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS2;SRBIJA – JUG;K1;2017;03;Registered individual agricultural producers (farmers);60116;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS21;Region Šumadije i Zapadne Srbije;K1;2017;0;Registered employment - total;477642;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS21;Region Šumadije i Zapadne Srbije;K1;2017;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");335070;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
