idindikator;mes;god;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040107IND02;01;2018;RS;REPUBLIC OF SERBIA;53276;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;01;2019;RS;REPUBLIC OF SERBIA;57111;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;01;2020;RS;REPUBLIC OF SERBIA;63692;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;01;2021;RS;REPUBLIC OF SERBIA;65997;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;01;2022;RS;REPUBLIC OF SERBIA;73482;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;01;2023;RS;REPUBLIC OF SERBIA;86917;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;01;2024;RS;REPUBLIC OF SERBIA;101799;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;01;2025;RS;REPUBLIC OF SERBIA;114600;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;01;2026;RS;REPUBLIC OF SERBIA;127555;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;02;2018;RS;REPUBLIC OF SERBIA;51702;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;02;2019;RS;REPUBLIC OF SERBIA;55478;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;02;2020;RS;REPUBLIC OF SERBIA;62183;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;02;2021;RS;REPUBLIC OF SERBIA;65597;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;02;2022;RS;REPUBLIC OF SERBIA;73870;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;02;2023;RS;REPUBLIC OF SERBIA;85915;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;02;2024;RS;REPUBLIC OF SERBIA;100650;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;02;2025;RS;REPUBLIC OF SERBIA;111349;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;02;2026;RS;REPUBLIC OF SERBIA;125763;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;03;2018;RS;REPUBLIC OF SERBIA;52595;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;03;2019;RS;REPUBLIC OF SERBIA;56154;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;03;2020;RS;REPUBLIC OF SERBIA;61814;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;03;2021;RS;REPUBLIC OF SERBIA;67915;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;03;2022;RS;REPUBLIC OF SERBIA;76073;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;03;2023;RS;REPUBLIC OF SERBIA;88855;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;03;2024;RS;REPUBLIC OF SERBIA;100705;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;03;2025;RS;REPUBLIC OF SERBIA;112877;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;04;2018;RS;REPUBLIC OF SERBIA;52779;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;04;2019;RS;REPUBLIC OF SERBIA;57545;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;04;2020;RS;REPUBLIC OF SERBIA;60875;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;04;2021;RS;REPUBLIC OF SERBIA;67793;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;04;2022;RS;REPUBLIC OF SERBIA;76248;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;04;2023;RS;REPUBLIC OF SERBIA;88251;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;04;2024;RS;REPUBLIC OF SERBIA;102095;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;04;2025;RS;REPUBLIC OF SERBIA;115902;RSD;RSD;SORS;Median gross earnings;A;Normal value
2403040107IND02;05;2018;RS;REPUBLIC OF SERBIA;54181;RSD;RSD;SORS;Median gross earnings;A;Normal value
