idindikator;mes;god;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040107IND01;01;2018;RS;REPUBLIC OF SERBIA;38721;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;01;2019;RS;REPUBLIC OF SERBIA;41467;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;01;2020;RS;REPUBLIC OF SERBIA;46167;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;01;2021;RS;REPUBLIC OF SERBIA;48000;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;01;2022;RS;REPUBLIC OF SERBIA;53327;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;01;2023;RS;REPUBLIC OF SERBIA;62964;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;01;2024;RS;REPUBLIC OF SERBIA;73733;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;01;2025;RS;REPUBLIC OF SERBIA;83031;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;01;2026;RS;REPUBLIC OF SERBIA;92671;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;02;2018;RS;REPUBLIC OF SERBIA;37610;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;02;2019;RS;REPUBLIC OF SERBIA;40308;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;02;2020;RS;REPUBLIC OF SERBIA;45106;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;02;2021;RS;REPUBLIC OF SERBIA;47682;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;02;2022;RS;REPUBLIC OF SERBIA;53590;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;02;2023;RS;REPUBLIC OF SERBIA;62239;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;02;2024;RS;REPUBLIC OF SERBIA;72956;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;02;2025;RS;REPUBLIC OF SERBIA;80732;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;02;2026;RS;REPUBLIC OF SERBIA;91399;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;03;2018;RS;REPUBLIC OF SERBIA;38238;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;03;2019;RS;REPUBLIC OF SERBIA;40765;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;03;2020;RS;REPUBLIC OF SERBIA;44818;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;03;2021;RS;REPUBLIC OF SERBIA;49328;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;03;2022;RS;REPUBLIC OF SERBIA;55146;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;03;2023;RS;REPUBLIC OF SERBIA;64363;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;03;2024;RS;REPUBLIC OF SERBIA;72979;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;03;2025;RS;REPUBLIC OF SERBIA;81793;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;04;2018;RS;REPUBLIC OF SERBIA;38394;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;04;2019;RS;REPUBLIC OF SERBIA;41773;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;04;2020;RS;REPUBLIC OF SERBIA;44129;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;04;2021;RS;REPUBLIC OF SERBIA;49230;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;04;2022;RS;REPUBLIC OF SERBIA;55267;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;04;2023;RS;REPUBLIC OF SERBIA;63954;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;04;2024;RS;REPUBLIC OF SERBIA;73928;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;04;2025;RS;REPUBLIC OF SERBIA;83974;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;05;2018;RS;REPUBLIC OF SERBIA;39370;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;05;2019;RS;REPUBLIC OF SERBIA;42319;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;05;2020;RS;REPUBLIC OF SERBIA;44463;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;05;2021;RS;REPUBLIC OF SERBIA;49869;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;05;2022;RS;REPUBLIC OF SERBIA;56582;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;05;2023;RS;REPUBLIC OF SERBIA;66244;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;05;2024;RS;REPUBLIC OF SERBIA;77571;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;05;2025;RS;REPUBLIC OF SERBIA;84408;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;06;2018;RS;REPUBLIC OF SERBIA;38500;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;06;2019;RS;REPUBLIC OF SERBIA;41045;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;06;2020;RS;REPUBLIC OF SERBIA;45500;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;06;2021;RS;REPUBLIC OF SERBIA;49999;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;06;2022;RS;REPUBLIC OF SERBIA;56397;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;06;2023;RS;REPUBLIC OF SERBIA;65358;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;06;2024;RS;REPUBLIC OF SERBIA;74185;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;06;2025;RS;REPUBLIC OF SERBIA;83525;RSD;RSD;SORS;Median net earnings;A;Normal value
2403040107IND01;07;2018;RS;REPUBLIC OF SERBIA;38642;RSD;RSD;SORS;Median net earnings;A;Normal value
