idindikator;mes;god;IDModalitetRegZap;nModalitetRegZap;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
240204IND01;00;2015;0;Registered employment - total;70017;Aleksandrovac;6255;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70017;Aleksandrovac;3626;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70017;Aleksandrovac;1467;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70017;Aleksandrovac;1161;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70025;Aleksinac;8782;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70025;Aleksinac;5925;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70025;Aleksinac;1842;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70025;Aleksinac;1015;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70033;Aranđelovac;10881;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70033;Aranđelovac;8279;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
