idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
24021105IND01;70000;Retained;00;2016;0;Total;17083;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2016;1;Male;16249;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2016;2;Female;835;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2017;0;Total;16196;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2017;1;Male;15415;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2017;2;Female;780;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2018;0;Total;15716;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2018;1;Male;14911;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2018;2;Female;805;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2019;0;Total;15338;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2019;1;Male;14398;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2019;2;Female;940;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2020;0;Total;14885;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2020;1;Male;13886;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2020;2;Female;999;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2021;0;Total;14088;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2021;1;Male;13101;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2021;2;Female;987;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2022;0;Total;13168;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2022;1;Male;12191;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2022;2;Female;976;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2023;0;Total;12561;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2023;1;Male;11589;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2023;2;Female;973;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2024;0;Total;11927;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2024;1;Male;9994;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2024;2;Female;1933;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2025;0;Total;8949;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2025;1;Male;8027;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70000;Retained;00;2025;2;Female;922;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2025;0;Total;6643;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2025;1;Male;3800;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2025;2;Female;2843;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2024;0;Total;6785;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2024;1;Male;3927;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2024;2;Female;2857;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2023;0;Total;6810;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2023;1;Male;3980;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2023;2;Female;2830;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2022;0;Total;6723;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2022;1;Male;3950;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2022;2;Female;2773;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2021;0;Total;6771;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2021;1;Male;4019;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2021;2;Female;2752;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2020;0;Total;6688;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2020;1;Male;4000;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2020;2;Female;2688;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2019;0;Total;6651;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2019;1;Male;4009;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2019;2;Female;2642;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2018;0;Total;6704;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2018;1;Male;4066;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2018;2;Female;2638;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2017;0;Total;6713;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2017;1;Male;4077;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2017;2;Female;2636;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2016;0;Total;6556;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2016;1;Male;3991;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70017;Aleksandrovac;00;2016;2;Female;2566;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2016;0;Total;10919;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2016;1;Male;6008;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2016;2;Female;4911;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2017;0;Total;11146;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2017;1;Male;6099;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2017;2;Female;5046;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2018;0;Total;11344;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2018;1;Male;6253;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2018;2;Female;5091;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2019;0;Total;11388;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2019;1;Male;6313;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2019;2;Female;5075;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2020;0;Total;11679;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2020;1;Male;6499;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2020;2;Female;5181;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2021;0;Total;12313;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2021;1;Male;6784;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2021;2;Female;5529;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2022;0;Total;12701;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2022;1;Male;7010;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2022;2;Female;5690;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2023;0;Total;12972;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2023;1;Male;7084;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2023;2;Female;5889;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2024;0;Total;12841;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2024;1;Male;7014;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2024;2;Female;5828;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2025;0;Total;12781;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2025;1;Male;6926;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2025;2;Female;5855;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
