idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
24021308IND01;70000;Retained;K1;2016;0;Total;17474;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70000;Retained;K1;2016;1;Male;16608;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70000;Retained;K1;2016;2;Female;866;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70017;Aleksandrovac;K1;2016;0;Total;6473;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70017;Aleksandrovac;K1;2016;1;Male;3946;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70017;Aleksandrovac;K1;2016;2;Female;2527;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70025;Aleksinac;K1;2016;0;Total;10676;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70025;Aleksinac;K1;2016;1;Male;5873;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70025;Aleksinac;K1;2016;2;Female;4803;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70033;Aranđelovac;K1;2016;0;Total;11832;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70033;Aranđelovac;K1;2016;1;Male;6637;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70033;Aranđelovac;K1;2016;2;Female;5194;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70041;Arilje;K1;2016;0;Total;5174;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70041;Arilje;K1;2016;1;Male;2837;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70041;Arilje;K1;2016;2;Female;2337;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70050;Babušnica;K1;2016;0;Total;2220;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70050;Babušnica;K1;2016;1;Male;1304;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70050;Babušnica;K1;2016;2;Female;916;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70068;Bajina Bašta;K1;2016;0;Total;6083;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70068;Bajina Bašta;K1;2016;1;Male;3738;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70068;Bajina Bašta;K1;2016;2;Female;2345;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70076;Batočina;K1;2016;0;Total;2675;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70076;Batočina;K1;2016;1;Male;1593;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70076;Batočina;K1;2016;2;Female;1082;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70084;Bela Palanka;K1;2016;0;Total;2203;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70084;Bela Palanka;K1;2016;1;Male;1358;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70084;Bela Palanka;K1;2016;2;Female;845;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70092;Barajevo;K1;2016;0;Total;7158;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70092;Barajevo;K1;2016;1;Male;4023;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70092;Barajevo;K1;2016;2;Female;3135;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70106;Voždovac;K1;2016;0;Total;57126;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70106;Voždovac;K1;2016;1;Male;27634;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70106;Voždovac;K1;2016;2;Female;29492;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70114;Vračar;K1;2016;0;Total;21656;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70114;Vračar;K1;2016;1;Male;10260;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70114;Vračar;K1;2016;2;Female;11396;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70122;Grocka;K1;2016;0;Total;24408;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
