idindikator;IDTer;nTer;mes;god;IDModalitetZarZap;nModalitetZarZap;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2018;0;Total;69218;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2018;1;Salaries and wages of employees with indefinite or fixed-term employment contract;69581;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2018;2;Salaries and wages of employees in temporary and occasional employment;47304;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2019;0;Total;75296;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2019;1;Salaries and wages of employees with indefinite or fixed-term employment contract;75704;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2019;2;Salaries and wages of employees in temporary and occasional employment;50529;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2020;0;Total;82836;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2020;1;Salaries and wages of employees with indefinite or fixed-term employment contract;83249;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2020;2;Salaries and wages of employees in temporary and occasional employment;54820;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2021;0;Total;87058;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2021;1;Salaries and wages of employees with indefinite or fixed-term employment contract;87409;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2021;2;Salaries and wages of employees in temporary and occasional employment;57463;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2022;0;Total;97877;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;98275;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;01;2022;2;Salaries and wages of employees in temporary and occasional employment;62255;RSD;RSD;SORS;Average gross earnings;A;Normal value
