idindikator;mes;god;IDTer;nTer;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040110IND02;01;2018;RS;REPUBLIC OF SERBIA;0;Total;69218;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2018;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;86455;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2018;RS;REPUBLIC OF SERBIA;0_JS;Public sector;78582;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2018;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;64394;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2018;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;99630;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2018;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;66524;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2018;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;75968;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2018;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;70756;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2018;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;73391;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2018;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;83029;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2018;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;86317;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2018;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;86801;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2018;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;66706;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2019;RS;REPUBLIC OF SERBIA;0;Total;75296;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2019;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;93275;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2019;RS;REPUBLIC OF SERBIA;0_JS;Public sector;85552;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2019;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;70386;RSD;RSD;SORS;Average gross earnings;A;Normal value
