idindikator;IDTer;nTer;mes;god;IDKD08;nkd08;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040108IND01;RS;REPUBLIC OF SERBIA;01;2018;0;Total;50048;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;01;2021;0;Total;63109;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;01;2022;0;Total;70920;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;01;2023;0;Total;82769;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;01;2024;0;Total;95836;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;01;2025;0;Total;107476;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;01;2026;0;Total;118429;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;02;2018;0;Total;48930;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;02;2019;0;Total;53470;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;02;2020;0;Total;59036;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;02;2021;0;Total;62693;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;02;2022;0;Total;70762;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;02;2023;0;Total;82062;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;02;2024;0;Total;94979;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;02;2025;0;Total;105499;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;02;2026;0;Total;117276;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;03;2018;0;Total;49088;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;03;2019;0;Total;53739;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;03;2020;0;Total;59254;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;03;2021;0;Total;63563;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;03;2022;0;Total;72067;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;03;2023;0;Total;83208;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;03;2024;0;Total;95625;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;03;2025;0;Total;106337;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;04;2018;0;Total;49095;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;04;2019;0;Total;53967;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;04;2020;0;Total;59173;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;04;2021;0;Total;63912;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;04;2022;0;Total;72305;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;04;2023;0;Total;83360;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;04;2024;0;Total;95873;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;04;2025;0;Total;107073;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;05;2018;0;Total;49355;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;05;2019;0;Total;54252;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;05;2020;0;Total;59116;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;05;2021;0;Total;64137;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040108IND01;RS;REPUBLIC OF SERBIA;05;2022;0;Total;72680;RSD;RSD;SORS;Average net earnings;A;Normal value
