idindikator;IDTer;nTer;mes;god;IDModalitetZarZap;nModalitetZarZap;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2018;0;Total;50048;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2018;1;Salaries and wages of employees with indefinite or fixed-term employment contract;50328;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2018;2;Salaries and wages of employees in temporary and occasional employment;33155;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2019;0;Total;54521;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2019;1;Salaries and wages of employees with indefinite or fixed-term employment contract;54836;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2019;2;Salaries and wages of employees in temporary and occasional employment;35417;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2020;0;Total;59941;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2020;1;Salaries and wages of employees with indefinite or fixed-term employment contract;60258;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2020;2;Salaries and wages of employees in temporary and occasional employment;38422;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2021;0;Total;63109;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2021;1;Salaries and wages of employees with indefinite or fixed-term employment contract;63380;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2021;2;Salaries and wages of employees in temporary and occasional employment;40243;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2022;0;Total;70920;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;71225;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2022;2;Salaries and wages of employees in temporary and occasional employment;43617;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2023;0;Total;82769;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2023;1;Salaries and wages of employees with indefinite or fixed-term employment contract;83110;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2023;2;Salaries and wages of employees in temporary and occasional employment;49024;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2024;0;Total;95836;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2024;1;Salaries and wages of employees with indefinite or fixed-term employment contract;96202;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2024;2;Salaries and wages of employees in temporary and occasional employment;58512;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2025;0;Total;107476;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2025;1;Salaries and wages of employees with indefinite or fixed-term employment contract;107863;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2025;2;Salaries and wages of employees in temporary and occasional employment;66724;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2026;0;Total;118429;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2026;1;Salaries and wages of employees with indefinite or fixed-term employment contract;118846;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;01;2026;2;Salaries and wages of employees in temporary and occasional employment;73674;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2018;0;Total;48930;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2018;1;Salaries and wages of employees with indefinite or fixed-term employment contract;49212;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2018;2;Salaries and wages of employees in temporary and occasional employment;32389;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2019;0;Total;53470;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2019;1;Salaries and wages of employees with indefinite or fixed-term employment contract;53791;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2019;2;Salaries and wages of employees in temporary and occasional employment;34618;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2020;0;Total;59036;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2020;1;Salaries and wages of employees with indefinite or fixed-term employment contract;59365;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2020;2;Salaries and wages of employees in temporary and occasional employment;37629;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2021;0;Total;62693;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2021;1;Salaries and wages of employees with indefinite or fixed-term employment contract;62971;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2021;2;Salaries and wages of employees in temporary and occasional employment;39754;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2022;0;Total;70762;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;71081;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2022;2;Salaries and wages of employees in temporary and occasional employment;43309;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2023;0;Total;82062;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2023;1;Salaries and wages of employees with indefinite or fixed-term employment contract;82417;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2023;2;Salaries and wages of employees in temporary and occasional employment;48698;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2024;0;Total;94979;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2024;1;Salaries and wages of employees with indefinite or fixed-term employment contract;95364;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2024;2;Salaries and wages of employees in temporary and occasional employment;57535;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2025;0;Total;105499;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2025;1;Salaries and wages of employees with indefinite or fixed-term employment contract;105916;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2025;2;Salaries and wages of employees in temporary and occasional employment;63910;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2026;0;Total;117276;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2026;1;Salaries and wages of employees with indefinite or fixed-term employment contract;117725;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;02;2026;2;Salaries and wages of employees in temporary and occasional employment;71727;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2018;0;Total;49088;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2018;1;Salaries and wages of employees with indefinite or fixed-term employment contract;49375;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2018;2;Salaries and wages of employees in temporary and occasional employment;32724;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2019;0;Total;53739;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2019;1;Salaries and wages of employees with indefinite or fixed-term employment contract;54069;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2019;2;Salaries and wages of employees in temporary and occasional employment;34905;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2020;0;Total;59254;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2020;1;Salaries and wages of employees with indefinite or fixed-term employment contract;59573;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2020;2;Salaries and wages of employees in temporary and occasional employment;37841;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2021;0;Total;63563;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2021;1;Salaries and wages of employees with indefinite or fixed-term employment contract;63846;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2021;2;Salaries and wages of employees in temporary and occasional employment;40635;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2022;0;Total;72067;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;72399;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2022;2;Salaries and wages of employees in temporary and occasional employment;44294;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2023;0;Total;83208;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2023;1;Salaries and wages of employees with indefinite or fixed-term employment contract;83573;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2023;2;Salaries and wages of employees in temporary and occasional employment;50118;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2024;0;Total;95625;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2024;1;Salaries and wages of employees with indefinite or fixed-term employment contract;96030;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2024;2;Salaries and wages of employees in temporary and occasional employment;57339;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2025;0;Total;106337;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2025;1;Salaries and wages of employees with indefinite or fixed-term employment contract;106776;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;03;2025;2;Salaries and wages of employees in temporary and occasional employment;63751;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2018;0;Total;49095;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2018;1;Salaries and wages of employees with indefinite or fixed-term employment contract;49387;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2018;2;Salaries and wages of employees in temporary and occasional employment;32640;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2019;0;Total;53967;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2019;1;Salaries and wages of employees with indefinite or fixed-term employment contract;54298;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2019;2;Salaries and wages of employees in temporary and occasional employment;35095;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2020;0;Total;59173;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2020;1;Salaries and wages of employees with indefinite or fixed-term employment contract;59473;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2020;2;Salaries and wages of employees in temporary and occasional employment;37989;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2021;0;Total;63912;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2021;1;Salaries and wages of employees with indefinite or fixed-term employment contract;64199;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2021;2;Salaries and wages of employees in temporary and occasional employment;40783;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2022;0;Total;72305;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;72643;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2022;2;Salaries and wages of employees in temporary and occasional employment;44078;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2023;0;Total;83360;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2023;1;Salaries and wages of employees with indefinite or fixed-term employment contract;83733;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2023;2;Salaries and wages of employees in temporary and occasional employment;49621;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2024;0;Total;95873;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2024;1;Salaries and wages of employees with indefinite or fixed-term employment contract;96286;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2024;2;Salaries and wages of employees in temporary and occasional employment;57669;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2025;0;Total;107073;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2025;1;Salaries and wages of employees with indefinite or fixed-term employment contract;107517;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;04;2025;2;Salaries and wages of employees in temporary and occasional employment;64176;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2018;0;Total;49355;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2018;1;Salaries and wages of employees with indefinite or fixed-term employment contract;49649;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2018;2;Salaries and wages of employees in temporary and occasional employment;32938;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2019;0;Total;54252;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2019;1;Salaries and wages of employees with indefinite or fixed-term employment contract;54583;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2019;2;Salaries and wages of employees in temporary and occasional employment;35378;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2020;0;Total;59116;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2020;1;Salaries and wages of employees with indefinite or fixed-term employment contract;59410;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2020;2;Salaries and wages of employees in temporary and occasional employment;37989;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2021;0;Total;64137;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2021;1;Salaries and wages of employees with indefinite or fixed-term employment contract;64426;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2021;2;Salaries and wages of employees in temporary and occasional employment;40760;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2022;0;Total;72680;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;73030;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040111IND01;RS;REPUBLIC OF SERBIA;05;2022;2;Salaries and wages of employees in temporary and occasional employment;44008;RSD;RSD;SORS;Average net earnings;A;Normal value
