idindikator;mes;god;IDTer;nTer;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040110IND01;01;2018;RS;REPUBLIC OF SERBIA;0;Total;50048;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2018;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;62158;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2018;RS;REPUBLIC OF SERBIA;0_JS;Public sector;56585;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2018;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;46681;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2018;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;71447;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2018;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;48106;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2018;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;54735;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2018;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;51083;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2018;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;52935;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2018;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;59677;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2018;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;62003;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2018;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;62284;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2018;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;48135;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2019;RS;REPUBLIC OF SERBIA;0;Total;54521;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2019;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;67135;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2019;RS;REPUBLIC OF SERBIA;0_JS;Public sector;61542;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2019;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;51160;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2019;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;77246;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2019;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;52939;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2019;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;59740;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2019;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;56126;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2019;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;57276;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2019;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;65288;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2019;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;67922;RSD;RSD;SORS;Average net earnings;A;Normal value
