territory_code,territory_name,territory_level,territory_level_order,parent_territory_code,parent_territory_name,country_code,country_name,macro_region_code,macro_region_name,statistical_region_code,statistical_region_name,administrative_district_code,administrative_district_name,local_unit_type,city_group_code,city_group_name,is_in_raw_municipality_file,note
70017,Aleksandrovac,local_unit,5,RS216,Rasinska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS216,Rasinska oblast,municipality,,,True,
70025,Aleksinac,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,True,
70033,Aranđelovac,local_unit,5,RS218,Šumadijska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS218,Šumadijska oblast,municipality,,,True,
70041,Arilje,local_unit,5,RS211,Zlatiborska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast,municipality,,,True,
70050,Babušnica,local_unit,5,RS226,Pirotska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS226,Pirotska oblast,municipality,,,True,
70068,Bajina Bašta,local_unit,5,RS211,Zlatiborska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast,municipality,,,True,
70076,Batočina,local_unit,5,RS218,Šumadijska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS218,Šumadijska oblast,municipality,,,True,
70084,Bela Palanka,local_unit,5,RS226,Pirotska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS226,Pirotska oblast,municipality,,,True,
70092,Barajevo,local_unit,5,RS110,Beogradska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS11,Beogradski region,RS110,Beogradska oblast,city_municipality,CITY_BELGRADE,Grad Beograd,True,
70106,Voždovac,local_unit,5,RS110,Beogradska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS11,Beogradski region,RS110,Beogradska oblast,city_municipality,CITY_BELGRADE,Grad Beograd,True,
