municipality_code,municipality_name
70017,Aleksandrovac
70025,Aleksinac
70033,Aranđelovac
70041,Arilje
70050,Babušnica
70068,Bajina Bašta
70076,Batočina
70084,Bela Palanka
70092,Barajevo
70106,Voždovac
70114,Vračar
70122,Grocka
70149,Zvezdara
70157,Zemun
70165,Lazarevac
70173,Mladenovac
70181,Novi Beograd
70190,Obrenovac
70203,Palilula (Beograd)
70211,Rakovica
70220,Savski venac
70238,Sopot
70246,Stari grad
70254,Čukarica
70262,Blace
70289,Bogatić
70297,Bojnik
70319,Boljevac
70327,Bor
70335,Bosilegrad
70343,Brus
70351,Bujanovac
70360,Valjevo
70378,Varvarin
70386,Velika Plana
70394,Veliko Gradište
70408,Vladimirci
70416,Vladičin Han
70424,Vlasotince
70432,Vranje
70459,Vrnjačka Banja
70467,Gadžin Han
70475,Golubac
70483,Gornji Milanovac
70491,Despotovac
70505,Dimitrovgrad
70513,Doljevac
70521,Žabari
70530,Žagubica
70548,Žitorađa
70556,Zaječar
70564,Ivanjica
70572,Kladovo
70599,Knić
70602,Knjaževac
70629,Kosjerić
70637,Koceljeva
70645,Kragujevac
70653,Kraljevo
70661,Krupanj
70670,Kruševac
70688,Kuršumlija
70696,Kučevo
70700,Lajkovac
70718,Lebane
70726,Leskovac
70734,Loznica
70742,Lučani
70769,Ljig
70777,Ljubovija
70785,Majdanpek
70793,Mali Zvornik
70807,Malo Crniće
70815,Medveđa
70823,Merošina
70831,Mionica
70840,Negotin
70866,Nova Varoš
70874,Novi Pazar
70882,Osečina
70904,Paraćin
70912,Petrovac na Mlavi
70939,Pirot
70947,Požarevac
70955,Požega
70963,Preševo
70971,Priboj
70980,Prijepolje
70998,Prokuplje
71005,Ražanj
71013,Rača
71021,Raška
71030,Rekovac
71048,Jagodina
71056,Svilajnac
71064,Svrljig
71072,Sjenica
71099,Smederevo
71102,Smederevska Palanka
71129,Sokobanja
71137,Surdulica
71145,Užice
71153,Topola
71161,Trgovište
71170,Trstenik
71188,Tutin
71196,Ćićevac
71200,Ćuprija
71218,Ub
71226,Crna Trava
71234,Čajetina
71242,Čačak
71269,Šabac
71277,Lapovo
71285,Niška Banja
71293,Surčin
71307,Pantelej
71315,Crveni Krst
71323,Palilula (Niš)
71331,Medijana
71340,Kostolac
71358,Vranjska Banja
71366,Sevojno
79022,Grad Niš
79049,Grad Požarevac
79057,Grad Vranje
79065,Grad Užice
80012,Ada
80039,Alibunar
80047,Apatin
80055,Bač
80063,Bačka Palanka
80071,Bačka Topola
80080,Bački Petrovac
80098,Bela Crkva
80101,Beočin
80110,Bečej
80128,Vršac
80136,Žabalj
80144,Žitište
80152,Zrenjanin
80179,Inđija
80187,Irig
80195,Kanjiža
80209,Kikinda
80217,Kovačica
80225,Kovin
80233,Kula
80241,Mali Iđoš
80250,Nova Crnja
80268,Novi Bečej
80276,Novi Kneževac
80284,Novi Sad
80292,Opovo
80306,Odžaci
80314,Pančevo
80322,Pećinci
80349,Plandište
80357,Ruma
80365,Senta
80373,Sečanj
80381,Sombor
80390,Srbobran
80403,Sremska Mitrovica
80411,Sremski Karlovci
80420,Stara Pazova
80438,Subotica
80446,Temerin
80454,Titel
80462,Vrbas
80489,Čoka
80497,Šid
80519,Petrovaradin
89010,Grad Novi Sad
RS,REPUBLIC OF SERBIA
RS1,SRBIJA – SEVER
RS11,Beogradski region
RS110,Beogradska oblast
RS12,Region Vojvodine
RS121,Zapadnobačka oblast
RS122,Južnobanatska oblast
RS123,Južnobačka oblast
RS124,Severnobanatska oblast
RS125,Severnobačka oblast
RS126,Srednjobanatska oblast
RS127,Sremska oblast
RS2,SRBIJA – JUG
RS21,Region Šumadije i Zapadne Srbije
RS211,Zlatiborska oblast
RS212,Kolubarska oblast
RS213,Mačvanska oblast
RS214,Moravička oblast
RS215,Pomoravska oblast
RS216,Rasinska oblast
RS217,Raška oblast
RS218,Šumadijska oblast
RS22,Region Južne i Istočne Srbije
RS221,Borska oblast
RS222,Braničevska oblast
RS223,Zaječarska oblast
RS224,Jablanička oblast
RS225,Nišavska oblast
RS226,Pirotska oblast
RS227,Podunavska oblast
RS228,Pčinjska oblast
RS229,Toplička oblast
