source_file,indicator_code,indicator_name,earnings_type,municipality_code,municipality_name,year,month,quarter,year_month,value_rsd,unit_code,unit_name,status_code,status_name,source_org
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70017,Aleksandrovac,2018,1,Q1,2018-01,38331,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70025,Aleksinac,2018,1,Q1,2018-01,41426,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70033,Aranđelovac,2018,1,Q1,2018-01,45289,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70041,Arilje,2018,1,Q1,2018-01,37357,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70050,Babušnica,2018,1,Q1,2018-01,41658,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70068,Bajina Bašta,2018,1,Q1,2018-01,40704,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70076,Batočina,2018,1,Q1,2018-01,39376,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70084,Bela Palanka,2018,1,Q1,2018-01,39270,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70092,Barajevo,2018,1,Q1,2018-01,43518,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70106,Voždovac,2018,1,Q1,2018-01,63109,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70114,Vračar,2018,1,Q1,2018-01,78193,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70122,Grocka,2018,1,Q1,2018-01,43500,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70149,Zvezdara,2018,1,Q1,2018-01,62943,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70157,Zemun,2018,1,Q1,2018-01,55647,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70165,Lazarevac,2018,1,Q1,2018-01,66056,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70173,Mladenovac,2018,1,Q1,2018-01,42460,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70181,Novi Beograd,2018,1,Q1,2018-01,75423,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70190,Obrenovac,2018,1,Q1,2018-01,50655,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70203,Palilula (Beograd),2018,1,Q1,2018-01,55463,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70211,Rakovica,2018,1,Q1,2018-01,56252,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70220,Savski venac,2018,1,Q1,2018-01,66816,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70238,Sopot,2018,1,Q1,2018-01,42324,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70246,Stari grad,2018,1,Q1,2018-01,74314,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70254,Čukarica,2018,1,Q1,2018-01,59550,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70262,Blace,2018,1,Q1,2018-01,38831,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70289,Bogatić,2018,1,Q1,2018-01,39570,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70297,Bojnik,2018,1,Q1,2018-01,38242,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70319,Boljevac,2018,1,Q1,2018-01,43275,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70327,Bor,2018,1,Q1,2018-01,53625,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70335,Bosilegrad,2018,1,Q1,2018-01,39594,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,70343,Brus,2018,1,Q1,2018-01,38702,RSD,RSD,A,Normal value,SORS
